Number,H0 Cycles,H1 Cycles,H Cycles,Cycles,H0S0,H0S1,H0S2,H0S3,H1S0,H1S1,H1S2,H1S3,HS0,HS1,HS2,HS3
805,9979,11153,24654,45786,205,74,14,1,206,73,13,2,399,156,27,5
806,11740,6457,23480,41677,199,68,17,1,196,83,11,0,399,154,31,3
807,7044,9979,24067,41090,201,81,12,0,205,74,14,1,400,152,32,3
808,7631,7631,21719,36981,198,82,10,1,198,79,13,0,397,157,31,2
809,7631,9392,21132,38155,198,82,10,1,202,82,7,3,394,165,24,4
810,8218,8805,20545,37568,203,77,14,0,202,78,12,1,395,161,29,2
811,5283,8218,15849,29350,188,87,9,0,201,80,11,1,388,174,24,1
812,8218,9392,25241,42851,199,83,8,2,203,73,16,0,399,157,25,6
813,7631,19958,20545,48134,197,82,10,1,215,49,22,4,394,164,26,3
814,11153,8805,18784,38742,206,70,16,1,204,75,15,0,391,170,23,3
815,4696,10566,23480,38742,197,89,8,0,205,72,15,1,396,163,22,6
816,12914,11153,17610,41677,207,67,16,2,202,73,13,2,389,174,21,3
817,7044,9979,21132,38155,201,81,12,0,201,77,11,2,396,159,30,2
818,9979,12327,18784,41090,202,77,11,2,208,69,15,2,392,167,26,2
819,7044,8805,19371,35220,200,84,9,1,203,78,12,1,391,171,21,4
820,4696,4696,24067,33459,197,89,8,0,189,89,8,0,398,158,26,5
821,12914,7044,24067,44025,206,70,13,3,201,81,12,0,399,155,29,4
822,5870,11740,25828,43438,198,85,10,0,202,71,14,2,403,146,35,3
823,8218,16436,21719,46373,202,80,11,1,212,64,13,5,396,160,28,3
824,8218,7044,18197,33459,200,83,8,2,200,84,9,1,392,166,28,1
825,7631,8805,14088,30524,194,82,10,1,201,78,12,1,385,180,21,1
826,11740,10566,19958,42264,204,71,14,2,205,72,15,1,395,160,31,1
827,8805,8218,14675,31698,203,78,12,1,202,77,14,0,384,184,16,3
828,9979,11740,22306,44025,200,74,14,1,207,71,14,2,397,158,29,3
829,11740,17023,18784,47547,206,71,14,2,211,62,14,5,393,164,29,1
830,8218,9392,19371,36981,202,80,11,1,200,76,13,1,392,168,24,3
831,5870,9392,19371,34633,198,88,7,1,204,76,13,1,392,168,24,3
832,7631,13501,19958,41090,199,82,10,1,210,65,17,2,395,160,31,1
833,9979,15849,20545,46373,203,74,14,1,208,63,15,4,394,164,26,3
834,8805,6457,17023,32285,204,75,15,0,200,83,11,0,389,173,23,2
835,8805,7631,21719,38155,199,78,12,1,201,82,10,1,396,160,28,3
836,7631,8218,22306,38155,201,82,10,1,201,77,14,0,397,158,29,3
837,14088,12914,25828,52830,206,69,12,4,203,67,16,2,401,152,29,5
838,10566,5870,20545,36981,204,69,18,0,198,85,10,0,395,161,29,2
839,6457,6457,19371,32285,200,83,11,0,199,83,11,0,393,165,27,2
840,9392,5870,18197,33459,203,76,13,1,199,85,10,0,391,169,25,2
841,6457,9979,23480,39916,198,86,8,1,203,74,14,1,398,157,28,4
842,7044,11153,31698,49895,200,81,12,0,206,73,13,2,405,150,21,11
843,12327,17023,23480,52830,204,66,18,1,214,53,23,2,400,151,34,2
844,4109,6457,26415,36981,196,91,7,0,200,83,11,0,401,153,27,6
845,12327,7631,22306,42264,205,72,12,3,187,82,10,1,397,158,29,3
846,14088,9392,24067,47547,210,66,15,3,198,76,13,1,400,152,32,3
847,9979,9392,20545,39916,205,74,14,1,204,73,16,0,394,164,26,3
848,9979,9392,23480,42851,205,74,14,1,202,79,10,2,401,148,37,1
